x1,x2,F1,F2
-0.184000,-0.184000,0.122500,0.560330
-0.182000,-0.182000,0.123500,0.562137
-0.180000,-0.180000,0.124500,0.563943
-0.178000,-0.178000,0.125500,0.565748
-0.176000,-0.176000,0.126600,0.567552
-0.174000,-0.174000,0.127600,0.569354
-0.172000,-0.172000,0.128600,0.571155
-0.170000,-0.170000,0.129600,0.572954
-0.168000,-0.168000,0.130700,0.574752
-0.166000,-0.166000,0.131700,0.576548
-0.164000,-0.164000,0.132800,0.578342
-0.162000,-0.162000,0.133900,0.580134
-0.160000,-0.160000,0.134900,0.581924
-0.158000,-0.158000,0.136000,0.583711
-0.156000,-0.156000,0.137100,0.585497
-0.154000,-0.154000,0.138200,0.587280
-0.152000,-0.152000,0.139300,0.589060
-0.150000,-0.150000,0.140400,0.590838
-0.148000,-0.148000,0.141500,0.592613
-0.146000,-0.146000,0.142700,0.594385
-0.144000,-0.144000,0.143800,0.596154
-0.142000,-0.142000,0.144900,0.597919
-0.140000,-0.140000,0.146100,0.599682
-0.138000,-0.138000,0.147200,0.601441
-0.136000,-0.136000,0.148400,0.603196
-0.134000,-0.134000,0.149600,0.604948
-0.132000,-0.132000,0.150700,0.606696
-0.130000,-0.130000,0.151900,0.608440
-0.128000,-0.128000,0.153100,0.610180
-0.126000,-0.126000,0.154300,0.611916
-0.124000,-0.124000,0.155500,0.613647
-0.122000,-0.122000,0.156700,0.615374
-0.120000,-0.120000,0.157900,0.617097
-0.118000,-0.118000,0.159200,0.618814
-0.116000,-0.116000,0.160400,0.620527
-0.114000,-0.114000,0.161600,0.622234
-0.112000,-0.112000,0.162900,0.623937
-0.110000,-0.110000,0.164200,0.625634
-0.108000,-0.108000,0.165400,0.627326
-0.106000,-0.106000,0.166700,0.629012
-0.104000,-0.104000,0.168000,0.630692
-0.102000,-0.102000,0.169300,0.632366
-0.100000,-0.100000,0.170600,0.634035
-0.098000,-0.098000,0.171900,0.635697
-0.096000,-0.096000,0.173200,0.637353
-0.094000,-0.094000,0.174500,0.639002
-0.092000,-0.092000,0.175800,0.640645
-0.090000,-0.090000,0.177100,0.642281
-0.088000,-0.088000,0.178500,0.643910
-0.086000,-0.086000,0.179800,0.645532
-0.084000,-0.084000,0.181200,0.647146
-0.082000,-0.082000,0.182600,0.648753
-0.080000,-0.080000,0.183900,0.650353
-0.078000,-0.078000,0.185300,0.651945
-0.076000,-0.076000,0.186700,0.653529
-0.074000,-0.074000,0.188100,0.655105
-0.072000,-0.072000,0.189500,0.656672
-0.070000,-0.070000,0.190900,0.658232
-0.068000,-0.068000,0.192300,0.659782
-0.066000,-0.066000,0.193700,0.661325
-0.064000,-0.064000,0.195200,0.662858
-0.062000,-0.062000,0.196600,0.664382
-0.060000,-0.060000,0.198000,0.665897
-0.058000,-0.058000,0.199500,0.667403
-0.056000,-0.056000,0.200900,0.668899
-0.054000,-0.054000,0.202400,0.670385
-0.052000,-0.052000,0.203900,0.671862
-0.050000,-0.050000,0.205400,0.673329
-0.048000,-0.048000,0.206900,0.674785
-0.046000,-0.046000,0.208400,0.676231
-0.044000,-0.044000,0.209900,0.677667
-0.042000,-0.042000,0.211400,0.679092
-0.040000,-0.040000,0.212900,0.680506
-0.038000,-0.038000,0.214400,0.681909
-0.036000,-0.036000,0.216000,0.683301
-0.034000,-0.034000,0.217500,0.684681
-0.032000,-0.032000,0.219000,0.686050
-0.030000,-0.030000,0.220600,0.687407
-0.028000,-0.028000,0.222200,0.688753
-0.026000,-0.026000,0.223700,0.690086
-0.024000,-0.024000,0.225300,0.691407
-0.022000,-0.022000,0.226900,0.692716
-0.020000,-0.020000,0.228500,0.694012
-0.018000,-0.018000,0.230100,0.695295
-0.016000,-0.016000,0.231700,0.696566
-0.014000,-0.014000,0.233300,0.697824
-0.012000,-0.012000,0.234900,0.699068
-0.010000,-0.010000,0.236500,0.700299
-0.008000,-0.008000,0.238100,0.701516
-0.006000,-0.006000,0.239800,0.702720
-0.004000,-0.004000,0.241400,0.703910
-0.002000,-0.002000,0.243100,0.705086
0.000000,0.000000,0.244700,0.706247
0.002000,0.002000,0.246400,0.707394
0.004000,0.004000,0.248000,0.708527
0.006000,0.006000,0.249700,0.709645
0.008000,0.008000,0.251400,0.710748
0.010000,0.010000,0.253100,0.711836
0.012000,0.012000,0.254800,0.712909
0.014000,0.014000,0.256500,0.713966
0.016000,0.016000,0.258200,0.715008
0.018000,0.018000,0.259900,0.716035
0.020000,0.020000,0.261600,0.717045
0.022000,0.022000,0.263300,0.718040
0.024000,0.024000,0.265100,0.719019
0.026000,0.026000,0.266800,0.719981
0.028000,0.028000,0.268500,0.720927
0.030000,0.030000,0.270300,0.721856
0.032000,0.032000,0.272000,0.722768
0.034000,0.034000,0.273800,0.723664
0.036000,0.036000,0.275500,0.724543
0.038000,0.038000,0.277300,0.725405
0.040000,0.040000,0.279100,0.726249
0.042000,0.042000,0.280800,0.727076
0.044000,0.044000,0.282600,0.727885
0.046000,0.046000,0.284400,0.728677
0.048000,0.048000,0.286200,0.729451
0.050000,0.050000,0.288000,0.730207
0.052000,0.052000,0.289800,0.730946
0.054000,0.054000,0.291600,0.731665
0.056000,0.056000,0.293400,0.732367
0.058000,0.058000,0.295200,0.733050
0.060000,0.060000,0.297000,0.733715
0.062000,0.062000,0.298800,0.734362
0.064000,0.064000,0.300700,0.734989
0.066000,0.066000,0.302500,0.735598
0.068000,0.068000,0.304300,0.736188
0.070000,0.070000,0.306100,0.736758
0.072000,0.072000,0.308000,0.737310
0.074000,0.074000,0.309800,0.737843
0.076000,0.076000,0.311700,0.738356
0.078000,0.078000,0.313500,0.738850
0.080000,0.080000,0.315400,0.739325
0.082000,0.082000,0.317200,0.739780
0.084000,0.084000,0.319100,0.740215
0.086000,0.086000,0.320900,0.740631
0.088000,0.088000,0.322800,0.741027
0.090000,0.090000,0.324600,0.741404
0.092000,0.092000,0.326500,0.741761
0.094000,0.094000,0.328400,0.742097
0.096000,0.096000,0.330200,0.742414
0.098000,0.098000,0.332100,0.742711
0.100000,0.100000,0.334000,0.742989
0.102000,0.102000,0.335900,0.743246
0.104000,0.104000,0.337700,0.743483
0.106000,0.106000,0.339600,0.743700
0.108000,0.108000,0.341500,0.743897
0.110000,0.110000,0.343400,0.744074
0.112000,0.112000,0.345300,0.744231
0.114000,0.114000,0.347100,0.744368
0.116000,0.116000,0.349000,0.744485
0.118000,0.118000,0.350900,0.744582
0.120000,0.120000,0.352800,0.744659
0.122000,0.122000,0.354700,0.744716
0.124000,0.124000,0.356600,0.744753
0.126000,0.126000,0.358400,0.744770
0.128000,0.128000,0.360300,0.744768
0.130000,0.130000,0.362200,0.744745
0.132000,0.132000,0.364100,0.744703
0.134000,0.134000,0.366000,0.744641
0.136000,0.136000,0.367900,0.744560
0.138000,0.138000,0.369800,0.744459
0.140000,0.140000,0.371600,0.744338
0.142000,0.142000,0.373500,0.744198
0.144000,0.144000,0.375400,0.744039
0.146000,0.146000,0.377300,0.743861
0.148000,0.148000,0.379200,0.743663
0.150000,0.150000,0.381100,0.743447
0.152000,0.152000,0.382900,0.743212
0.154000,0.154000,0.384800,0.742958
0.156000,0.156000,0.386700,0.742685
0.158000,0.158000,0.388600,0.742394
0.160000,0.160000,0.390400,0.742085
0.162000,0.162000,0.392300,0.741757
0.164000,0.164000,0.394200,0.741412
0.166000,0.166000,0.396000,0.741049
0.168000,0.168000,0.397900,0.740668
0.170000,0.170000,0.399700,0.740269
0.172000,0.172000,0.401600,0.739854
0.174000,0.174000,0.403500,0.739421
0.176000,0.176000,0.405300,0.738972
0.178000,0.178000,0.407200,0.738505
0.180000,0.180000,0.409000,0.738023
0.182000,0.182000,0.410800,0.737524
0.184000,0.184000,0.412700,0.737009
0.186000,0.186000,0.414500,0.736478
0.188000,0.188000,0.416400,0.735932
0.190000,0.190000,0.418200,0.735370
0.192000,0.192000,0.420000,0.734793
0.194000,0.194000,0.421800,0.734202
0.196000,0.196000,0.423700,0.733596
0.198000,0.198000,0.425500,0.732976
0.200000,0.200000,0.427300,0.732342
0.202000,0.202000,0.429100,0.731694
0.204000,0.204000,0.430900,0.731032
0.206000,0.206000,0.432700,0.730358
0.208000,0.208000,0.434500,0.729671
0.210000,0.210000,0.436300,0.728971
0.212000,0.212000,0.438100,0.728259
0.214000,0.214000,0.439900,0.727535
0.216000,0.216000,0.441700,0.726800
0.218000,0.218000,0.443400,0.726054
0.220000,0.220000,0.445200,0.725296
0.222000,0.222000,0.447000,0.724528
0.224000,0.224000,0.448700,0.723749
0.226000,0.226000,0.450500,0.722961
0.228000,0.228000,0.452300,0.722163
0.230000,0.230000,0.454000,0.721356
0.232000,0.232000,0.455800,0.720540
0.234000,0.234000,0.457500,0.719716
0.236000,0.236000,0.459200,0.718883
0.238000,0.238000,0.461000,0.718042
0.240000,0.240000,0.462700,0.717194
0.242000,0.242000,0.464400,0.716339
0.244000,0.244000,0.466200,0.715477
0.246000,0.246000,0.467900,0.714609
0.248000,0.248000,0.469600,0.713734
0.250000,0.250000,0.471300,0.712854
0.252000,0.252000,0.473000,0.711969
0.254000,0.254000,0.474700,0.711078
0.256000,0.256000,0.476400,0.710183
0.258000,0.258000,0.478100,0.709284
0.260000,0.260000,0.479800,0.708380
0.262000,0.262000,0.481500,0.707473
0.264000,0.264000,0.483200,0.706563
0.266000,0.266000,0.484900,0.705650
0.268000,0.268000,0.486600,0.704734
0.270000,0.270000,0.488300,0.703816
0.272000,0.272000,0.490000,0.702896
0.274000,0.274000,0.491600,0.701974
0.276000,0.276000,0.493300,0.701051
0.278000,0.278000,0.495000,0.700127
0.280000,0.280000,0.496700,0.699203
0.282000,0.282000,0.498300,0.698277
0.284000,0.284000,0.500000,0.697352
0.286000,0.286000,0.501700,0.696426
0.288000,0.288000,0.503400,0.695501
0.290000,0.290000,0.505000,0.694577
