th13,dm31,walker
0.0238384,2.44716,4
0.0238384,2.44716,4
0.0232799,2.41942,4
0.0232628,2.40091,4
0.0232628,2.40091,4
0.023739,2.45479,4
0.0232827,2.4336,4
0.023254,2.43383,4
0.0229405,2.45365,4
0.0229555,2.4538,4
0.0230171,2.39665,4
0.0224649,2.39925,4
0.0224721,2.38857,4
0.0225518,2.36849,4
0.022702,2.36685,4
0.022702,2.36685,4
0.022702,2.36685,4
0.0226332,2.39133,4
0.0225699,2.42449,4
0.0226415,2.42671,4
0.0230354,2.42025,4
0.0230354,2.42025,4
0.0226862,2.42642,4
0.0227835,2.40245,4
0.0227835,2.40245,4
0.0227627,2.40206,4
0.0227858,2.42525,4
0.0227516,2.42823,4
0.0227405,2.4285,4
0.0226267,2.4262,4
0.0226569,2.42967,4
0.0226569,2.42967,4
0.0226512,2.42722,4
0.0226512,2.42722,4
0.0226654,2.42465,4
0.0227302,2.41215,4
0.0227302,2.41215,4
0.0226859,2.41243,4
0.023213,2.39054,4
0.023213,2.39054,4
0.0225423,2.40753,4
0.022319,2.38562,4
0.022319,2.38562,4
0.0225017,2.42215,4
0.0224573,2.43033,4
0.0224573,2.43033,4
0.0222204,2.44409,4
0.0222271,2.44518,4
0.0211694,2.46966,4
0.0211694,2.46966,4
0.0211694,2.46966,4
0.0211694,2.46966,4
0.0211643,2.46958,4
0.0211643,2.46958,4
0.0211643,2.46958,4
0.0211642,2.46921,4
0.0212096,2.47327,4
0.0218342,2.47025,4
0.0219465,2.45831,4
0.0216512,2.43453,4
0.021074,2.40516,4
0.021074,2.40516,4
0.021074,2.40516,4
0.0210803,2.40631,4
0.0212765,2.41631,4
0.021416,2.44891,4
0.0214138,2.44873,4
0.0214138,2.44873,4
0.0214066,2.42242,4
0.0214915,2.43504,4
0.0208219,2.45383,4
0.0208219,2.45383,4
0.0205413,2.45806,4
0.0213043,2.43416,4
0.0216236,2.447,4
0.0217401,2.46593,4
0.0220421,2.46326,4
0.0220555,2.46314,4
0.0219105,2.44001,4
0.0219237,2.44044,4
0.0219237,2.44044,4
0.0217662,2.41187,4
0.0216751,2.4074,4
0.0216751,2.4074,4
0.0216751,2.4074,4
0.021799,2.41373,4
0.0214018,2.37791,4
0.0214215,2.38051,4
0.0219085,2.40857,4
0.0219085,2.40857,4
0.0222187,2.42572,4
0.0222232,2.42781,4
0.0222232,2.42781,4
0.0222815,2.43283,4
0.0222666,2.45416,4
0.0226393,2.46486,4
0.0228626,2.49034,4
0.0228017,2.48107,4
0.0224708,2.49263,4
0.0222775,2.51713,4
0.0222505,2.51901,4
0.0222505,2.51901,4
0.0222184,2.51798,4
0.0221343,2.53395,4
0.0218898,2.54474,4
0.0218836,2.54539,4
0.0218836,2.54539,4
0.0218921,2.56923,4
0.0218921,2.56923,4
0.0224715,2.51393,4
0.0224641,2.47621,4
0.0227386,2.47978,4
0.0227196,2.48364,4
0.0227196,2.48364,4
0.0222847,2.47779,4
0.0222847,2.47779,4
0.0223707,2.47008,4
0.0223707,2.47008,4
0.0223707,2.47008,4
0.0223553,2.44389,4
0.022272,2.44665,4
0.022023,2.4661,4
0.0219865,2.46756,4
0.0219865,2.46756,4
0.0218593,2.4641,4
0.0225764,2.48859,4
0.0225764,2.48859,4
0.0227927,2.51038,4
0.0231629,2.51223,4
0.0231629,2.51223,4
0.0232733,2.51802,4
0.0232733,2.51802,4
0.0232733,2.51802,4
0.0233465,2.52429,4
0.0234957,2.51956,4
0.0235734,2.52887,4
0.0237039,2.52908,4
0.0237039,2.52908,4
0.0232484,2.52763,4
0.0231942,2.51148,4
0.0221838,2.52133,4
0.0218596,2.56759,4
0.0218596,2.56759,4
0.0220089,2.53111,4
0.0222171,2.54481,4
0.0223174,2.54531,4
0.0223174,2.54531,4
0.0220994,2.52896,4
0.0220994,2.52896,4
0.0221043,2.52781,4
0.0226468,2.56914,4
0.0227617,2.60408,4
0.0229625,2.62135,4
0.0229625,2.62135,4
0.0229625,2.62135,4
0.0228991,2.60363,4
0.0228991,2.60363,4
0.0228308,2.59484,4
0.0229483,2.58383,4
0.0229974,2.59493,4
0.0226691,2.5759,4
0.0226252,2.53541,4
0.0226713,2.54529,4
0.0228068,2.56118,4
0.0224713,2.53479,4
0.0224713,2.53479,4
0.0225785,2.56197,4
0.0225785,2.56197,4
0.0224124,2.56049,4
0.0234199,2.50767,5
0.0235774,2.54193,5
0.0234483,2.53504,5
0.0234483,2.53504,5
0.0228796,2.49837,5
0.0225718,2.50976,5
0.0217697,2.49903,5
0.0217653,2.49869,5
0.0216994,2.50964,5
0.0215241,2.52297,5
0.0215241,2.52297,5
0.0218485,2.50139,5
0.0219624,2.52497,5
0.0216142,2.5928,5
0.0216142,2.5928,5
0.0216142,2.5928,5
0.0216142,2.5928,5
0.0216142,2.5928,5
0.0215917,2.59541,5
0.0220582,2.54132,5
0.0220795,2.5391,5
0.0221867,2.52697,5
0.0221875,2.52693,5
0.0214416,2.52451,5
0.0214416,2.52451,5
0.0214416,2.52451,5
0.0214699,2.51681,5
0.0213656,2.52429,5
0.0213742,2.51939,5
0.0213742,2.51939,5
0.0213742,2.51939,5
0.0213723,2.54714,5
0.0213269,2.55162,5
0.0213593,2.55122,5
0.0213912,2.55076,5
0.0215026,2.54811,5
0.0215026,2.54811,5
0.0211362,2.5477,5
0.0211362,2.5477,5
0.0212401,2.54858,5
0.0212401,2.54858,5
0.0212401,2.54858,5
0.021577,2.53341,5
0.021598,2.52567,5
0.0216607,2.51679,5
0.0213852,2.51584,5
0.0212319,2.51652,5
0.0212319,2.51652,5
0.0212319,2.51652,5
0.0212319,2.51652,5
0.0216561,2.48815,5
0.0218119,2.46319,5
0.0216879,2.48178,5
0.0212573,2.52179,5
0.0212573,2.52179,5
0.0212573,2.52179,5
0.0211376,2.52703,5
0.0211376,2.52703,5
0.0211376,2.52703,5
0.0211376,2.52703,5
0.021116,2.52952,5
0.021116,2.52952,5
0.0209439,2.56294,5
0.0215019,2.53419,5
0.0220604,2.46168,5
0.0219558,2.44114,5
0.0219403,2.44152,5
0.0219314,2.44508,5
0.0222982,2.34925,5
0.0222675,2.36815,5
0.022272,2.40655,5
0.0221929,2.40745,5
0.0221929,2.40745,5
0.0222405,2.39664,5
0.0222876,2.4623,5
0.0216765,2.46997,5
0.0212143,2.41384,5
0.0212308,2.41397,5
0.0212425,2.41582,5
0.0212425,2.41582,5
0.0212425,2.41582,5
0.0212425,2.41582,5
0.0212425,2.41582,5
0.0212425,2.41582,5
0.0208635,2.39058,5
0.0208635,2.39058,5
0.0208635,2.39058,5
0.0210609,2.39996,5
0.020768,2.38493,5
0.020768,2.38493,5
0.020768,2.38493,5
0.020768,2.38493,5
0.020768,2.38493,5
0.020768,2.38493,5
0.020768,2.38493,5
0.020768,2.38493,5
0.020768,2.38493,5
0.020768,2.38493,5
0.0212256,2.42775,5
0.0212256,2.42775,5
0.0212538,2.43085,5
0.0212516,2.43074,5
0.0212516,2.43074,5
0.0216886,2.43599,5
0.0216934,2.44592,5
0.0225337,2.4957,5
0.022594,2.47604,5
0.0220753,2.51247,5
0.0220515,2.52077,5
0.0219342,2.5181,5
0.0219585,2.51814,5
0.0216661,2.51376,5
0.0215529,2.51677,5
0.0215529,2.51677,5
0.0220261,2.5287,5
0.0220261,2.5287,5
0.0220261,2.5287,5
0.0220261,2.5287,5
0.0221741,2.50469,5
0.0227104,2.51204,5
0.0227104,2.51204,5
0.0222815,2.52824,5
0.022111,2.54056,5
0.0223077,2.55783,5
0.0227147,2.57471,5
0.0227147,2.57471,5
0.0225625,2.58288,5
0.0225625,2.58288,5
0.0225625,2.58288,5
0.0225625,2.58288,5
0.0223744,2.57098,5
0.0223744,2.57098,5
0.0223744,2.57098,5
